n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri
tobasco,tobasco,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
toddler,,,,,,,,,,,,,,,toddler,family,small group,,,,,,,,,,,
toddlers,,,,,,,,,,,,,,,toddler,family,small group,,,,,,,,,,,
toddy,,,,,,,,,,,,,,,,,,,,,,,,,,toddy,alcohol,alcoholic
toffee apples,toffee apples,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
toilet,,,,,,,,,,,,,toilet,home,,,,,,,,,,,,,,
tomatillo,tomatillo,fruits,fruits,,,,,,,,,,,,,,,,,,,,,,,,,
tomato,tomato,fruits,fruits,,,,,,,,,,,,,,,,,,,,,,,,,
tomatoe,tomatoe,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,tonic water,water,non alcoholic
tonight,,,,,,,,,,,,,,,,,,night,night,,,,,,,,,
tooth pick,,,,,,,,,,,,,,,,,,,,,,toothpick,toothpick,,,,,
toothpick,,,,,,,,,,,,,,,,,,,,,,toothpick,toothpick,,,,,
torcida,torcida,salty snacks,light food,light food,salty snacks,,torcida,torcida,torcida,,,,,,,,,,,portable,portable,rte,rte,,,,,
torradas,torradas,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
torresmo,torresmo,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
torta de maca com uva passa,,,,,,,torta de maca com uva passa,cookies integrais,kobber,,,,,,,,,,,,,,,,,,,
tortas,tortas,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
tortas de tamal,tortas de tamal,street food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
tortilha,tortilha,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
